year,WEEK,Total_cases,sales,bert_sentiment_score,date,flu_trend,isPartial
2014,27,159,33.4,-1.0,,0.0,
2014,28,154,48.2,-1.0,,0.0,
2014,28,154,36.2,-1.0,,0.0,
2014,28,154,85.4,-1.0,,0.0,
2014,28,154,73.7,-1.0,,0.0,
2014,28,154,123.7,-1.0,,0.0,
2014,28,154,109.3,-1.0,,0.0,
2014,28,154,69.1,-1.0,,0.0,
2014,28,154,70.80000000000001,-1.0,,0.0,
2014,28,154,58.8,-1.0,,0.0,
2014,28,154,74.5,-1.0,,0.0,
2014,28,154,45.2,-1.0,,0.0,
2014,28,154,33.4,-1.0,,0.0,
2014,29,121,48.2,-1.0,,0.0,
2014,29,121,36.2,-1.0,,0.0,
2014,29,121,85.4,-1.0,,0.0,
2014,29,121,73.7,-1.0,,0.0,
2014,29,121,123.7,-1.0,,0.0,
2014,29,121,109.3,-1.0,,0.0,
2014,29,121,69.1,-1.0,,0.0,
2014,29,121,70.80000000000001,-1.0,,0.0,
2014,29,121,58.8,-1.0,,0.0,
2014,29,121,74.5,-1.0,,0.0,
2014,29,121,45.2,-1.0,,0.0,
2014,29,121,33.4,-1.0,,0.0,
2014,30,118,48.2,-1.0,,0.0,
2014,30,118,36.2,-1.0,,0.0,
2014,30,118,85.4,-1.0,,0.0,
2014,30,118,73.7,-1.0,,0.0,
2014,30,118,123.7,-1.0,,0.0,
2014,30,118,109.3,-1.0,,0.0,
2014,30,118,69.1,-1.0,,0.0,
2014,30,118,70.80000000000001,-1.0,,0.0,
2014,30,118,58.8,-1.0,,0.0,
2014,30,118,74.5,-1.0,,0.0,
2014,30,118,45.2,-1.0,,0.0,
2014,30,118,33.4,-1.0,,0.0,
2014,31,107,48.2,-1.0,,0.0,
2014,31,107,36.2,-1.0,,0.0,
2014,31,107,85.4,-1.0,,0.0,
2014,31,107,73.7,-1.0,,0.0,
2014,31,107,123.7,-1.0,,0.0,
2014,31,107,109.3,-1.0,,0.0,
2014,31,107,69.1,-1.0,,0.0,
2014,31,107,70.80000000000001,-1.0,,0.0,
2014,31,107,58.8,-1.0,,0.0,
